id,smiles,dG,code,train_test,3,smiles_len
168_,CC(C1=CC=CC=C1)(C2=CC=CC=C2)C(=O)OCC3=C(C=CC=N3)OC(=O)N(C)C,-6.04,labeled_pubchem,train,test,59
169_,CC(C1=CC=CC=C1)(C2=CC=CC=C2)C(=O)OCC3C(=CCCN3C)OC(=O)N(C)C,-5.94,labeled_pubchem,train,,58
170_,C[C@@H]([C@H]1CC[C@@H]2[C@@]1(CC[C@H]3[C@H]2CC[C@@H]4[C@@]3(CC[C@@H](C4)N(C)C(=O)/C=C(\C)/C(C)C)C)C)N(C)C,-7.38,labeled_pubchem,train,,105
171_,C/C=C(\C)/C(=O)N[C@H]1[C@H](C[C@]2([C@H]([C@H]1OC(=O)C)CC[C@@H]3[C@@H]2CC[C@]4(C3=CC[C@@H]4[C@H](C)N(C)C)C)C)O,-5.3,labeled_pubchem,train,,110
172_,C1CCC2=NC3=CC=CC=C3C(=C2C1)NCCCCCCCSC4=C5CCCCC5=NC6=CC=CC=C64,-8.86,labeled_pubchem,train,,61
173_,CN(CCCNC1=C2CCCCC2=NC3=CC=CC=C31)CCCNC4=C5CCCCC5=NC6=C4C(=CC(=C6)Cl)Cl,-11.54,labeled_pubchem,train,,70
174_,C1CCC2=NC3=CC=CC=C3C(=C2C1)NCCCNCCCNCCC[N+]4=C5C=C(C=CC5=C6C=CC(=CC6=C4C7=CC=CC=C7)N)N,-12.08,labeled_pubchem,train,test,86
175_,C1CCC2=NC3=CC=CC=C3C(=C2C1)CCCCCCCCNC4=C5CCCCC5=NC6=CC=CC=C64,-10.3,labeled_pubchem,train,,61
176_,CCN(CCCNC1=C2CCCCC2=NC3=CC=CC=C31)CCCNC4=C5CCCCC5=NC6=CC=CC=C64,-11.71,labeled_pubchem,train,,63
177_,C1CCC2=NC3=CC=CC=C3C(=C2C1)NCCCCCCCCCSC4=C5CCCCC5=NC6=CC=CC=C64,-9.19,labeled_pubchem,train,,63
178_,C1CCC2=NC3=CC=CC=C3C(=C2C1)NCCCN(CCCNC4=C5CCCCC5=NC6=CC=CC=C64)CCO,-12.58,labeled_pubchem,train,,66
179_,C1=CC=C2C=[N+](C=CC2=C1)CCCCCCCC[N+]3=CC4=CC=CC=C4C=C3,-8.36,labeled_pubchem,train,,54
180_,CN(CCCCSC1=C2CCCCC2=NC3=CC=CC=C31)CCCNC4=C5CCCCC5=NC6=CC=CC=C64,-8.41,labeled_pubchem,train,,63
181_,C1=CC=[N+](C=C1)CCCCCCCCCCC[N+]2=CC=CC=C2,-10.42,labeled_pubchem,train,test,41
182_,C1CCC2=NC3=C(C=CC(=C3)Cl)C(=C2C1)NCCCNC(=O)CCCCC4CCSS4,-9.32,labeled_pubchem,train,,54
183_,C=CCN(CCCNC1=C2CCCCC2=NC3=CC=CC=C31)CCCNC4=C5CCCCC5=NC6=CC=CC=C64,-12.04,labeled_pubchem,train,,65
184_,C[C@H]1COC2=C1C(=O)C(=O)C3=C2C=CC4=C(C=CC=C43)C,-8.1,labeled_pubchem,train,,47
